wl,n
0.72136,6.09680
0.72295,6.10650
0.72453,6.11618
0.72611,6.12585
0.72770,6.13551
0.72928,6.14516
0.73086,6.15480
0.73244,6.16442
0.73403,6.17403
0.73561,6.18363
0.73719,6.19323
0.73878,6.20281
0.74036,6.21238
0.74194,6.22194
0.74353,6.23149
0.74511,6.24103
0.74669,6.25056
0.74828,6.26008
0.74986,6.26960
0.75144,6.27910
0.75303,6.28860
0.75461,6.29808
0.75619,6.30756
0.75778,6.31704
0.75936,6.32650
0.76094,6.33595
0.76253,6.34540
0.76411,6.35484
0.76569,6.36428
0.76727,6.37371
0.76886,6.38313
0.77044,6.39254
0.77202,6.40195
0.77361,6.41135
0.77519,6.42075
0.77677,6.43014
0.77836,6.43953
0.77994,6.44891
0.78152,6.45828
0.78311,6.46765
0.78469,6.47702
0.78627,6.48638
0.78786,6.49574
0.78944,6.50509
0.79102,6.51444
0.79261,6.52379
0.79419,6.53313
0.79577,6.54247
0.79735,6.55180
0.79894,6.56113
0.80052,6.57046
0.80210,6.57979
0.80369,6.58911
0.80527,6.59843
0.80685,6.60775
0.80844,6.61707
0.81002,6.62639
0.81160,6.63570
0.81319,6.64501
0.81477,6.65432
0.81635,6.66363
0.81794,6.67294
0.81952,6.68225
0.82110,6.69156
0.82269,6.70086
0.82427,6.71017
0.82585,6.71947
0.82743,6.72878
0.82902,6.73809
0.83060,6.74739
0.83218,6.75670
0.83377,6.76601
0.83535,6.77531
0.83693,6.78462
